,Jan,Feb,Mar,Apr,May,June,July,Aug,Sept,Oct,Nov,Dec,Year
temp_rec_high,34.4 ,36.7 ,40.6 ,42.8 ,45.0 ,43.3 ,41.1 ,40.0 ,38.9 ,39.4 ,35.4 ,33.0 ,45.0 
temp_avg_high,29.3 ,30.9 ,32.9 ,34.5 ,37.1 ,37.0 ,35.3 ,34.7 ,34.2 ,32.1 ,29.9 ,28.9 ,33.1 
temp_avg_low,21.2 ,22.2 ,24.2 ,26.6 ,28.0 ,27.5 ,26.4 ,25.9 ,25.6 ,24.6 ,23.1 ,21.9 ,24.8 
temp_rec_low,13.9 ,15.0 ,16.7 ,20.0 ,21.1 ,20.6 ,21.0 ,20.6 ,20.6 ,16.7 ,15.0 ,13.9 ,13.9 
avg_rainfall,25.9 ,3.4 ,3.5 ,14.4 ,34.2 ,55.8 ,103.8 ,126.8 ,147.7 ,315.6 ,374.4 ,177.4 ,"1,382.9 "
avg_rainy_days,1.4,0.8,0.3,0.8,1.8,4.0,6.5,7.7,7.3,10.9,11.5,5.8,58.8
