,Jan,Feb,Mar,Apr,May,June,July,Aug,Sept,Oct,Nov,Dec,Year
temp_rec_high,22 ,26 ,32 ,39 ,48 ,48 ,43 ,42 ,42 ,37 ,31 ,23 ,48 
temp_avg_high,18 ,21.4 ,27.3 ,33.6 ,43.2 ,42.9 ,37.6 ,37.4 ,36.7 ,31.9 ,26.3 ,17.9 ,45.2 
temp_avg_low,12.9 ,15.2 ,22.9 ,28.3 ,38.8 ,39.6 ,34 ,32.4 ,30.1 ,27.4 ,21.7 ,13.3 ,26.4 
temp_rec_low,−0.6 ,2.4 ,7.9 ,13.3 ,24.9 ,26.2 ,22.9 ,21.7 ,17.8 ,11.7 ,6.2 ,0.6 ,12.9 
avg_rainfall,−4.3 ,−0.6 ,3.4 ,8.6 ,21.3 ,23 ,18.1 ,16.4 ,13.8 ,6.5 ,2.6 ,−8.7 ,−5.6 
avg_rainy_days,−10 ,−6 ,−1 ,6 ,16 ,18 ,13 ,12 ,9 ,4 ,−1 ,−9 ,−10 
