,Jan,Feb,Mar,Apr,May,June,July,Aug,Sept,Oct,Nov,Dec,Year
temp_rec_high,32.8 ,35.9 ,37.3 ,39.2 ,38.9 ,38.1 ,33.3 ,33.3 ,33.3 ,32.4 ,31.7 ,31.1 ,39.2 
temp_avg_high,27.9 ,30.7 ,33.1 ,34.0 ,33.3 ,29.6 ,28.3 ,27.8 ,28.6 ,28.2 ,27.2 ,26.5 ,29.6 
temp_avg_low,15.8 ,17.5 ,20.0 ,22.0 ,21.7 ,20.4 ,19.9 ,19.8 ,19.8 ,19.6 ,18.0 ,16.2 ,19.2 
temp_rec_low,7.8 ,9.4 ,11.1 ,14.4 ,16.7 ,16.7 ,16.1 ,14.4 ,15.0 ,13.2 ,9.6 ,8.9 ,7.8 
avg_rainfall,1.9 ,5.4 ,18.5 ,41.5 ,107.4 ,106.5 ,112.9 ,147.0 ,212.8 ,168.3 ,48.9 ,15.7 ,986.8 
avg_rainy_days,0.2,0.4,1.1,3.1,6.7,6.2,7.2,9.9,9.8,8.3,3.8,1.4,58.1
