,Jan,Feb,Mar,Apr,May,June,July,Aug,Sept,Oct,Nov,Dec,Year
temp_rec_high,36.6 ,39.2 ,45.0 ,46.1 ,47.8 ,47.7 ,40.6 ,37.8 ,38.9 ,39.5 ,35.6 ,39.7 ,47.8 
temp_avg_high,28.7 ,31.2 ,36.2 ,40.7 ,42.4 ,37.5 ,31.6 ,30.5 ,32.3 ,32.7 ,30.4 ,28.1 ,33.5 
temp_avg_low,20.8 ,23.2 ,27.7 ,32.5 ,35.1 ,31.9 ,27.9 ,27.1 ,27.7 ,26.4 ,23.0 ,20.4 ,27.0 
temp_rec_low,6.0 ,15.5 ,19.2 ,24.3 ,27.8 ,26.3 ,24.1 ,23.6 ,23.1 ,20.0 ,15.5 ,9.0 ,20.4 
avg_rainfall,3.9 ,5.0 ,8.3 ,13.9 ,19.4 ,20.0 ,19.4 ,18.3 ,16.6 ,11.6 ,6.7 ,5.5 ,3.9 
avg_rainy_days,12.5 ,20.7 ,17.6 ,14.3 ,19.2 ,190.1 ,341.7 ,280.5 ,183.1 ,56.8 ,16.6 ,13.2 ,"1,166.3 "
