,Jan,Feb,Mar,Apr,May,June,July,Aug,Sept,Oct,Nov,Dec,Year
temp_rec_high,35.6 ,37.6 ,39.7 ,40.3 ,40.4 ,38.6 ,35.6 ,35.7 ,36.2 ,36.1 ,34.4 ,35.0 ,40.3 
temp_avg_high,30.5 ,33.3 ,35.9 ,36.7 ,35.2 ,32.2 ,31.6 ,31.6 ,32.5 ,31.6 ,30.1 ,29.3 ,32.5 
temp_avg_low,18.2 ,19.5 ,21.3 ,23.4 ,23.5 ,22.4 ,21.8 ,21.8 ,22.0 ,21.8 ,20.7 ,19.0 ,21.3 
temp_rec_low,11.7 ,12.8 ,15.6 ,17.8 ,16.1 ,18.3 ,16.7 ,17.2 ,17.8 ,15.0 ,13.9 ,12.2 ,9.7 
avg_rainfall,5.4 ,13.0 ,15.1 ,48.0 ,71.2 ,27.4 ,35.5 ,35.5 ,144.3 ,123.1 ,222.2 ,46.0 ,966.0 
avg_rainy_days,0.3,1.0,1.0,3.0,4.2,2.7,2.6,2.6,4.6,7.4,5.8,2.8,38.3
