,Jan,Feb,Mar,Apr,May,June,July,Aug,Sept,Oct,Nov,Dec,Year
temp_rec_high,30.0 ,35.1 ,41.4 ,44.6 ,45.6 ,46.6 ,41.2 ,39.7 ,37.5 ,37.2 ,34.1 ,30.5 ,46.6 
temp_avg_high,22.4 ,26.0 ,32.2 ,37.0 ,37.4 ,36.4 ,33.0 ,32.9 ,32.5 ,31.9 ,29.0 ,24.5 ,31.3 
temp_avg_low,16.2 ,18.9 ,24.4 ,29.8 ,31.8 ,31.7 ,29.5 ,29.3 ,28.8 ,26.7 ,21.9 ,19.7 ,25.3 
temp_rec_low,9.3 ,12.1 ,16.7 ,22.1 ,25.1 ,26.7 ,26.3 ,26.3 ,25.5 ,21.5 ,15.1 ,10.5 ,19.8 
avg_rainfall,1.1 ,3.4 ,8.2 ,13.3 ,17.7 ,19.3 ,21.1 ,20.5 ,19.0 ,12.0 ,7.7 ,2.2 ,1.1 
avg_rainy_days,15.2 ,11.1 ,11.4 ,9 ,35.6 ,133.5 ,302.4 ,266.3 ,194.7 ,24.6 ,8.2 ,7.4 ,"1,019.4 "
