,Jan,Feb,Mar,Apr,May,June,July,Aug,Sept,Oct,Nov,Dec,Year
temp_rec_high,33.9 ,37.9 ,41.1 ,44.6 ,46.0 ,45.8 ,39.9 ,35.8 ,37.4 ,37.8 ,37.1 ,32.9 ,46.0 
temp_avg_high,26.5 ,28.8 ,34.3 ,38.7 ,40.4 ,36.2 ,30.3 ,28.2 ,30.9 ,32.4 ,29.7 ,26.9 ,31.9 
temp_avg_low,18.2 ,20.2 ,25.3 ,30.0 ,32.4 ,30.1 ,26.5 ,25.1 ,26.0 ,25.3 ,21.8 ,18.8 ,25.0 
temp_rec_low,9.8 ,11.4 ,16.2 ,21.2 ,24.4 ,24.1 ,22.6 ,21.9 ,21.1 ,18.1 ,12.2 ,10.6 ,17.9 
avg_rainfall,1.1 ,2.8 ,5.0 ,7.8 ,16.7 ,18.9 ,18.9 ,18.6 ,9.0 ,6.2 ,5.6 ,1.1 ,1.1 
avg_rainy_days,4 ,3 ,1 ,3 ,11 ,136 ,279 ,360 ,185 ,52 ,21 ,7 ,"1,062 "
