,Jan,Feb,Mar,Apr,May,June,July,Aug,Sept,Oct,Nov,Dec,Year
temp_rec_high,37.1 ,39.6 ,41.7 ,42.2 ,41.0 ,37.1 ,34.8 ,33.5 ,36.4 ,37.9 ,37.4 ,39.8 ,42.2 
temp_avg_high,31.1 ,31.3 ,32.8 ,33.2 ,33.6 ,32.4 ,30.4 ,30.0 ,30.7 ,33.4 ,33.7 ,32.4 ,32.1 
temp_avg_low,17.3 ,18.2 ,21.4 ,24.2 ,27.0 ,26.6 ,25.5 ,25.1 ,24.8 ,23.8 ,21.3 ,18.5 ,22.8 
temp_rec_low,7.4 ,8.5 ,13.8 ,16.9 ,20.2 ,19.8 ,21.2 ,19.4 ,20.7 ,16.7 ,13.3 ,10.6 ,7.4 
avg_rainfall,0.3 ,0.4 ,0.0 ,0.1 ,11.3 ,493.1 ,840.7 ,585.2 ,341.4 ,89.3 ,9.9 ,1.6 ,"2,373.4 "
avg_rainy_days,0.0,0.1,0.0,0.0,0.8,13.6,22.9,21.5,13.9,3.4,0.6,0.2,77.0
