,Jan,Feb,Mar,Apr,May,June,July,Aug,Sept,Oct,Nov,Dec,Year
temp_rec_high,30.0 ,34.1 ,40.6 ,45.6 ,47.2 ,46.7 ,45.0 ,42.0 ,40.6 ,39.4 ,36.1 ,29.3 ,47.2 
temp_avg_high,21.0 ,23.5 ,29.2 ,36.0 ,39.2 ,38.8 ,34.7 ,33.6 ,34.2 ,33.0 ,28.3 ,22.9 ,31.2 
temp_avg_low,14.3 ,16.8 ,22.3 ,28.8 ,32.5 ,33.4 ,30.8 ,30.0 ,29.5 ,26.3 ,20.8 ,15.7 ,25.1 
temp_rec_low,7.6 ,10.1 ,15.3 ,21.6 ,25.9 ,27.8 ,26.8 ,26.3 ,24.7 ,19.6 ,13.2 ,8.5 ,19.0 
avg_rainfall,−0.6 ,1.6 ,4.4 ,10.7 ,15.2 ,18.9 ,20.3 ,20.7 ,17.3 ,9.4 ,3.9 ,1.1 ,−0.6 
avg_rainy_days,19 ,20 ,15 ,21 ,25 ,70 ,237 ,235 ,113 ,17 ,9 ,9 ,790 
