,Jan,Feb,Mar,Apr,May,June,July,Aug,Sept,Oct,Nov,Dec,Year
temp_rec_high,33.0 ,35.6 ,42.8 ,46.5 ,48.6 ,48.5 ,46.5 ,43.0 ,41.4 ,41.1 ,36.1 ,31.0 ,48.6 
temp_avg_high,22.3 ,25.2 ,32.0 ,38.5 ,41.6 ,40.7 ,35.2 ,33.7 ,34.4 ,34.3 ,29.7 ,24.0 ,32.6 
temp_avg_low,15.1 ,17.8 ,24.0 ,30.5 ,34.0 ,34.6 ,31.1 ,29.6 ,29.4 ,27.0 ,21.7 ,16.6 ,26.0 
temp_rec_low,8.0 ,10.4 ,15.9 ,22.3 ,26.4 ,28.5 ,26.8 ,25.8 ,24.4 ,19.9 ,13.7 ,9.1 ,19.3 
avg_rainfall,−2.2 ,−1.7 ,5.6 ,10.0 ,14.0 ,12.0 ,14.5 ,12.0 ,13.0 ,9.4 ,2.8 ,−0.6 ,−2.2 
avg_rainy_days,13.2 ,17.6 ,9.3 ,6.3 ,11.3 ,55.7 ,203.3 ,243.2 ,129.7 ,24.8 ,4.3 ,6.1 ,724.8 
