,Jan,Feb,Mar,Apr,May,June,July,Aug,Sept,Oct,Nov,Dec,Year
temp_rec_high,31.1 ,35.6 ,42.8 ,45.6 ,47.2 ,47.3 ,45.0 ,40.6 ,40.0 ,40.6 ,36.1 ,31.3 ,47.3 
temp_avg_high,23.1 ,25.9 ,32.3 ,38.3 ,40.7 ,39.0 ,33.8 ,32.9 ,33.2 ,33.0 ,29.4 ,24.8 ,32.2 
temp_avg_low,7.9 ,10.3 ,15.3 ,21.4 ,25.4 ,27.4 ,26.3 ,25.9 ,24.6 ,19.6 ,13.0 ,8.6 ,18.7 
temp_rec_low,1.6 ,0.6 ,7.2 ,11.1 ,16.4 ,20.6 ,21.7 ,21.7 ,11.8 ,4.6 ,0.5 ,−0.9 ,−0.9 
avg_rainfall,18.7 ,15.7 ,8.3 ,7.4 ,19.8 ,99.0 ,300.8 ,233.1 ,188.7 ,53.8 ,5.1 ,9.1 ,959.6 
avg_rainy_days,1.9,1.5,1.0,0.8,1.2,4.6,13.7,10.7,6.8,2.1,0.4,0.7,45.5
