,Jan,Feb,Mar,Apr,May,June,July,Aug,Sept,Oct,Nov,Dec,Year
temp_rec_high,32.8 ,38.4 ,41.1 ,43.3 ,43.7 ,43.9 ,39.9 ,38.4 ,38.9 ,39.0 ,34.9 ,32.5 ,43.9 
temp_avg_high,26.4 ,29.1 ,33.5 ,35.3 ,35.4 ,34.0 ,32.3 ,32.1 ,32.4 ,32.3 ,30.3 ,27.0 ,31.7 
temp_avg_low,20.1 ,23.0 ,27.6 ,30.2 ,30.7 ,30.3 ,29.2 ,29.1 ,29.1 ,28.2 ,24.9 ,20.8 ,26.9 
temp_rec_low,13.8 ,16.9 ,21.7 ,25.1 ,26.0 ,26.5 ,26.1 ,26.1 ,25.8 ,23.9 ,19.6 ,14.5 ,22.2 
avg_rainfall,6.7 ,7.2 ,10.0 ,16.1 ,17.9 ,20.4 ,20.6 ,22.6 ,20.6 ,17.2 ,10.6 ,7.2 ,6.7 
avg_rainy_days,11 ,30 ,35 ,60 ,142 ,288 ,411 ,349 ,288 ,143 ,26 ,17 ,"1,800 "
