,Jan,Feb,Mar,Apr,May,June,July,Aug,Sept,Oct,Nov,Dec,Year
temp_rec_high,34.8 ,38.2 ,40.0 ,40.5 ,45.0 ,45.4 ,41.4 ,38.8 ,38.2 ,37.2 ,35.0 ,34.0 ,45.4 
temp_avg_high,28.9 ,31.3 ,33.8 ,35.3 ,36.2 ,35.3 ,32.9 ,32.7 ,32.5 ,31.7 ,30.4 ,28.9 ,32.5 
temp_avg_low,18.0 ,19.9 ,23.0 ,26.1 ,27.7 ,27.3 ,26.1 ,26.0 ,25.6 ,24.3 ,21.6 ,18.6 ,23.7 
temp_rec_low,10.5 ,12.8 ,14.4 ,18.3 ,20.0 ,21.1 ,21.3 ,21.1 ,17.5 ,17.6 ,12.9 ,11.3 ,10.5 
avg_rainfall,11.1 ,10.5 ,13.0 ,26.2 ,70.5 ,117.0 ,133.3 ,163.6 ,191.1 ,258.1 ,115.5 ,8.8 ,"1,118.7 "
avg_rainy_days,0.5,0.5,0.5,1.2,3.0,6.4,8.7,9.3,9.9,8.7,2.7,0.6,52.0
