,Jan,Feb,Mar,Apr,May,June,July,Aug,Sept,Oct,Nov,Dec,Year
temp_rec_high,36.2 ,41.7 ,44.4 ,45.9 ,48.0 ,45.6 ,40.6 ,37.9 ,41.1 ,42.1 ,39.6 ,36.8 ,48 
temp_avg_high,29.5 ,31.9 ,36.2 ,39.2 ,40.1 ,36.8 ,32.5 ,31.4 ,33.0 ,35.5 ,33.4 ,30.7 ,34.2 
temp_avg_low,12.5 ,14.2 ,18.4 ,23.0 ,26.6 ,27.0 ,25.8 ,25.0 ,24.5 ,21.4 ,16.9 ,13.7 ,20.8 
temp_rec_low,−1.1 ,1.7 ,6.7 ,11.7 ,18.9 ,20.2 ,21.1 ,22.2 ,18.9 ,11.7 ,7.2 ,3.3 ,−1.1 
avg_rainfall,2.2 ,0.7 ,0.7 ,1.4 ,6.1 ,118.9 ,274.6 ,242.4 ,124.2 ,26.4 ,1.3 ,3.7 ,802.6 
avg_rainy_days,0,0,0,0,0,9,14,11,7,3,1,0,49
