,Jan,Feb,Mar,Apr,May,June,July,Aug,Sept,Oct,Nov,Dec,Year
temp_rec_high,35.3 ,38.9 ,42.8 ,43.3 ,43.3 ,41.7 ,36.0 ,35.0 ,36.1 ,37.8 ,36.1 ,35.0 ,43.3 
temp_avg_high,24.0 ,30.0 ,36.0 ,38.1 ,37.2 ,32.1 ,28.3 ,27.5 ,29.3 ,31.8 ,30.0 ,25.0 ,32.0 
temp_avg_low,15.0 ,22.0 ,25.6 ,28.8 ,29.7 ,27.4 ,25.3 ,24.5 ,25.1 ,25.0 ,22.3 ,16.0 ,23.9 
temp_rec_low,6.0 ,12.5 ,16.0 ,20.7 ,22.5 ,22.9 ,22.0 ,21.4 ,20.7 ,18.0 ,14.0 ,7.0 ,18.0 
avg_rainfall,1.7 ,3.9 ,7.2 ,10.6 ,13.8 ,17.0 ,18.9 ,17.2 ,13.2 ,9.4 ,4.6 ,3.3 ,1.7 
avg_rainy_days,0 ,0.5 ,5.3 ,16.6 ,40.6 ,116.1 ,187.2 ,122.3 ,120.1 ,77.9 ,30.2 ,4.8 ,721.7 
