,Jan,Feb,Mar,Apr,May,June,July,Aug,Sept,Oct,Nov,Dec,Year
temp_rec_high,36.1 ,40.6 ,43.9 ,46.2 ,50.0 ,47.2 ,42.2 ,40.4 ,41.7 ,42.8 ,38.9 ,35.6 ,50.0 
temp_avg_high,28.1 ,30.8 ,35.8 ,39.6 ,41.6 ,38.8 ,33.6 ,32.0 ,33.8 ,35.7 ,32.9 ,29.5 ,34.4 
temp_avg_low,12.4 ,14.3 ,19.5 ,23.9 ,27.0 ,27.5 ,25.9 ,25.0 ,24.7 ,21.4 ,16.7 ,13.4 ,21.0 
temp_rec_low,3.3 ,2.2 ,9.4 ,12.8 ,19.1 ,19.4 ,20.4 ,21.2 ,17.2 ,12.6 ,8.3 ,3.6 ,2.2 
avg_rainfall,1.0 ,0.8 ,0.6 ,2.4 ,7.0 ,80.0 ,291.2 ,266.2 ,86.8 ,11.7 ,2.3 ,1.0 ,750.9 
avg_rainy_days,0.1,0.1,0.0,0.4,0.6,3.9,11.5,10.7,5.0,0.8,0.4,0.2,33.6
