,Jan,Feb,Mar,Apr,May,June,July,Aug,Sept,Oct,Nov,Dec,Year
Record high °C (°F),33.9 (93),37.9 (100.2),41.1 (106),44.6 (112.3),46.0 (114.8),45.8 (114.4),39.9 (103.8),35.8 (96.4),37.4 (99.3),37.8 (100),37.1 (98.8),32.9 (91.2),46.0 (114.8)
Average high °C (°F),26.5 (79.7),28.8 (83.8),34.3 (93.7),38.7 (101.7),40.4 (104.7),36.2 (97.2),30.3 (86.5),28.2 (82.8),30.9 (87.6),32.4 (90.3),29.7 (85.5),26.9 (80.4),31.9 (89.4)
Average low °C (°F),18.2 (64.8),20.2 (68.4),25.3 (77.5),30.0 (86),32.4 (90.3),30.1 (86.2),26.5 (79.7),25.1 (77.2),26.0 (78.8),25.3 (77.5),21.8 (71.2),18.8 (65.8),25.0 (77)
Record low °C (°F),9.8 (49.6),11.4 (52.5),16.2 (61.2),21.2 (70.2),24.4 (75.9),24.1 (75.4),22.6 (72.7),21.9 (71.4),21.1 (70),18.1 (64.6),12.2 (54),10.6 (51.1),17.9 (64.2)
Average rainfall mm (inches),1.1 (34),2.8 (37),5.0 (41),7.8 (46),16.7 (62.1),18.9 (66),18.9 (66),18.6 (65.5),9.0 (48.2),6.2 (43.2),5.6 (42.1),1.1 (34),1.1 (34)
Average rainy days,4 (0.16),3 (0.12),1 (0.04),3 (0.12),11 (0.43),136 (5.35),279 (10.98),360 (14.17),185 (7.28),52 (2.05),21 (0.83),7 (0.28),"1,062 (41.81)"
