,Jan,Feb,Mar,Apr,May,June,July,Aug,Sept,Oct,Nov,Dec,Year
Record high °C (°F),36.6 (97.9),39.2 (102.6),45.0 (113),46.1 (115),47.8 (118),47.7 (117.9),40.6 (105.1),37.8 (100),38.9 (102),39.5 (103.1),35.6 (96.1),39.7 (103.5),47.8 (118)
Average high °C (°F),28.7 (83.7),31.2 (88.2),36.2 (97.2),40.7 (105.3),42.4 (108.3),37.5 (99.5),31.6 (88.9),30.5 (86.9),32.3 (90.1),32.7 (90.9),30.4 (86.7),28.1 (82.6),33.5 (92.3)
Average low °C (°F),20.8 (69.4),23.2 (73.8),27.7 (81.9),32.5 (90.5),35.1 (95.2),31.9 (89.4),27.9 (82.2),27.1 (80.8),27.7 (81.9),26.4 (79.5),23.0 (73.4),20.4 (68.7),27.0 (80.6)
Record low °C (°F),6.0 (42.8),15.5 (59.9),19.2 (66.6),24.3 (75.7),27.8 (82),26.3 (79.3),24.1 (75.4),23.6 (74.5),23.1 (73.6),20.0 (68),15.5 (59.9),9.0 (48.2),20.4 (68.7)
Average rainfall mm (inches),3.9 (39),5.0 (41),8.3 (46.9),13.9 (57),19.4 (66.9),20.0 (68),19.4 (66.9),18.3 (64.9),16.6 (61.9),11.6 (52.9),6.7 (44.1),5.5 (41.9),3.9 (39)
Average rainy days,12.5 (0.492),20.7 (0.815),17.6 (0.693),14.3 (0.563),19.2 (0.756),190.1 (7.484),341.7 (13.453),280.5 (11.043),183.1 (7.209),56.8 (2.236),16.6 (0.654),13.2 (0.52),"1,166.3 (45.917)"
