,Jan,Feb,Mar,Apr,May,June,July,Aug,Sept,Oct,Nov,Dec,Year
Record high °C (°F),36.1 (97),40.6 (105.1),43.9 (111),46.2 (115.2),50.0 (122),47.2 (117),42.2 (108),40.4 (104.7),41.7 (107.1),42.8 (109),38.9 (102),35.6 (96.1),50.0 (122)
Average high °C (°F),28.1 (82.6),30.8 (87.4),35.8 (96.4),39.6 (103.3),41.6 (106.9),38.8 (101.8),33.6 (92.5),32.0 (89.6),33.8 (92.8),35.7 (96.3),32.9 (91.2),29.5 (85.1),34.4 (93.9)
Average low °C (°F),12.4 (54.3),14.3 (57.7),19.5 (67.1),23.9 (75),27.0 (80.6),27.5 (81.5),25.9 (78.6),25.0 (77),24.7 (76.5),21.4 (70.5),16.7 (62.1),13.4 (56.1),21.0 (69.8)
Record low °C (°F),3.3 (37.9),2.2 (36),9.4 (48.9),12.8 (55),19.1 (66.4),19.4 (66.9),20.4 (68.7),21.2 (70.2),17.2 (63),12.6 (54.7),8.3 (46.9),3.6 (38.5),2.2 (36)
Average rainfall mm (inches),1.0 (0.039),0.8 (0.031),0.6 (0.024),2.4 (0.094),7.0 (0.276),80.0 (3.15),291.2 (11.465),266.2 (10.48),86.8 (3.417),11.7 (0.461),2.3 (0.091),1.0 (0.039),750.9 (29.563)
Average rainy days,0.1,0.1,0.0,0.4,0.6,3.9,11.5,10.7,5.0,0.8,0.4,0.2,33.6
