,Jan,Feb,Mar,Apr,May,June,July,Aug,Sept,Oct,Nov,Dec,Year
Record high °C (°F),30.0 (86),35.1 (95.2),41.4 (106.5),44.6 (112.3),45.6 (114.1),46.6 (115.9),41.2 (106.2),39.7 (103.5),37.5 (99.5),37.2 (99),34.1 (93.4),30.5 (86.9),46.6 (115.9)
Average high °C (°F),22.4 (72.3),26.0 (78.8),32.2 (90),37.0 (98.6),37.4 (99.3),36.4 (97.5),33.0 (91.4),32.9 (91.2),32.5 (90.5),31.9 (89.4),29.0 (84.2),24.5 (76.1),31.3 (88.3)
Average low °C (°F),16.2 (61.2),18.9 (66),24.4 (75.9),29.8 (85.6),31.8 (89.2),31.7 (89.1),29.5 (85.1),29.3 (84.7),28.8 (83.8),26.7 (80.1),21.9 (71.4),19.7 (67.5),25.3 (77.5)
Record low °C (°F),9.3 (48.7),12.1 (53.8),16.7 (62.1),22.1 (71.8),25.1 (77.2),26.7 (80.1),26.3 (79.3),26.3 (79.3),25.5 (77.9),21.5 (70.7),15.1 (59.2),10.5 (50.9),19.8 (67.6)
Average rainfall mm (inches),1.1 (34),3.4 (38.1),8.2 (46.8),13.3 (55.9),17.7 (63.9),19.3 (66.7),21.1 (70),20.5 (68.9),19.0 (66.2),12.0 (53.6),7.7 (45.9),2.2 (36),1.1 (34)
Average rainy days,15.2 (0.598),11.1 (0.437),11.4 (0.449),9 (0.35),35.6 (1.402),133.5 (5.256),302.4 (11.906),266.3 (10.484),194.7 (7.665),24.6 (0.969),8.2 (0.323),7.4 (0.291),"1,019.4 (40.13)"
