,Jan,Feb,Mar,Apr,May,June,July,Aug,Sept,Oct,Nov,Dec,Year
Record high °C (°F),36.2 (97.2),41.7 (107.1),44.4 (111.9),45.9 (114.6),48.0 (118.4),45.6 (114.1),40.6 (105.1),37.9 (100.2),41.1 (106),42.1 (107.8),39.6 (103.3),36.8 (98.2),48 (118.4)
Average high °C (°F),29.5 (85.1),31.9 (89.4),36.2 (97.2),39.2 (102.6),40.1 (104.2),36.8 (98.2),32.5 (90.5),31.4 (88.5),33.0 (91.4),35.5 (95.9),33.4 (92.1),30.7 (87.3),34.2 (93.5)
Average low °C (°F),12.5 (54.5),14.2 (57.6),18.4 (65.1),23.0 (73.4),26.6 (79.9),27.0 (80.6),25.8 (78.4),25.0 (77),24.5 (76.1),21.4 (70.5),16.9 (62.4),13.7 (56.7),20.8 (69.4)
Record low °C (°F),?1.1 (30),1.7 (35.1),6.7 (44.1),11.7 (53.1),18.9 (66),20.2 (68.4),21.1 (70),22.2 (72),18.9 (66),11.7 (53.1),7.2 (45),3.3 (37.9),?1.1 (30)
Average rainfall mm (inches),2.2 (0.087),0.7 (0.028),0.7 (0.028),1.4 (0.055),6.1 (0.24),118.9 (4.681),274.6 (10.811),242.4 (9.543),124.2 (4.89),26.4 (1.039),1.3 (0.051),3.7 (0.146),802.6 (31.599)
Average rainy days,0,0,0,0,0,9,14,11,7,3,1,0,49
