,Jan,Feb,Mar,Apr,May,June,July,Aug,Sept,Oct,Nov,Dec,Year
Record high °C (°F),32.8 (91),38.4 (101.1),41.1 (106),43.3 (109.9),43.7 (110.7),43.9 (111),39.9 (103.8),38.4 (101.1),38.9 (102),39.0 (102.2),34.9 (94.8),32.5 (90.5),43.9 (111)
Average high °C (°F),26.4 (79.5),29.1 (84.4),33.5 (92.3),35.3 (95.5),35.4 (95.7),34.0 (93.2),32.3 (90.1),32.1 (89.8),32.4 (90.3),32.3 (90.1),30.3 (86.5),27.0 (80.6),31.7 (89.1)
Average low °C (°F),20.1 (68.2),23.0 (73.4),27.6 (81.7),30.2 (86.4),30.7 (87.3),30.3 (86.5),29.2 (84.6),29.1 (84.4),29.1 (84.4),28.2 (82.8),24.9 (76.8),20.8 (69.4),26.9 (80.4)
Record low °C (°F),13.8 (56.8),16.9 (62.4),21.7 (71.1),25.1 (77.2),26.0 (78.8),26.5 (79.7),26.1 (79),26.1 (79),25.8 (78.4),23.9 (75),19.6 (67.3),14.5 (58.1),22.2 (72)
Average rainfall mm (inches),6.7 (44.1),7.2 (45),10.0 (50),16.1 (61),17.9 (64.2),20.4 (68.7),20.6 (69.1),22.6 (72.7),20.6 (69.1),17.2 (63),10.6 (51.1),7.2 (45),6.7 (44.1)
Average rainy days,11 (0.43),30 (1.18),35 (1.38),60 (2.36),142 (5.59),288 (11.34),411 (16.18),349 (13.74),288 (11.34),143 (5.63),26 (1.02),17 (0.67),"1,800 (70.87)"
