,Jan,Feb,Mar,Apr,May,June,July,Aug,Sept,Oct,Nov,Dec,Year
Record high °C (°F),30.0 (86),34.1 (93.4),40.6 (105.1),45.6 (114.1),47.2 (117),46.7 (116.1),45.0 (113),42.0 (107.6),40.6 (105.1),39.4 (102.9),36.1 (97),29.3 (84.7),47.2 (117)
Average high °C (°F),21.0 (69.8),23.5 (74.3),29.2 (84.6),36.0 (96.8),39.2 (102.6),38.8 (101.8),34.7 (94.5),33.6 (92.5),34.2 (93.6),33.0 (91.4),28.3 (82.9),22.9 (73.2),31.2 (88.2)
Average low °C (°F),14.3 (57.7),16.8 (62.2),22.3 (72.1),28.8 (83.8),32.5 (90.5),33.4 (92.1),30.8 (87.4),30.0 (86),29.5 (85.1),26.3 (79.3),20.8 (69.4),15.7 (60.3),25.1 (77.2)
Record low °C (°F),7.6 (45.7),10.1 (50.2),15.3 (59.5),21.6 (70.9),25.9 (78.6),27.8 (82),26.8 (80.2),26.3 (79.3),24.7 (76.5),19.6 (67.3),13.2 (55.8),8.5 (47.3),19.0 (66.2)
Average rainfall mm (inches),?0.6 (30.9),1.6 (34.9),4.4 (39.9),10.7 (51.3),15.2 (59.4),18.9 (66),20.3 (68.5),20.7 (69.3),17.3 (63.1),9.4 (48.9),3.9 (39),1.1 (34),?0.6 (30.9)
Average rainy days,19 (0.75),20 (0.79),15 (0.59),21 (0.83),25 (0.98),70 (2.76),237 (9.33),235 (9.25),113 (4.45),17 (0.67),9 (0.35),9 (0.35),790 (31.1)
