,Jan,Feb,Mar,Apr,May,June,July,Aug,Sept,Oct,Nov,Dec,Year
Record high °C (°F),35.3 (95.5),38.9 (102),42.8 (109),43.3 (109.9),43.3 (109.9),41.7 (107.1),36.0 (96.8),35.0 (95),36.1 (97),37.8 (100),36.1 (97),35.0 (95),43.3 (109.9)
Average high °C (°F),24.0 (75.2),30.0 (86),36.0 (96.8),38.1 (100.6),37.2 (99),32.1 (89.8),28.3 (82.9),27.5 (81.5),29.3 (84.7),31.8 (89.2),30.0 (86),25.0 (77),32.0 (89.6)
Average low °C (°F),15.0 (59),22.0 (71.6),25.6 (78.1),28.8 (83.8),29.7 (85.5),27.4 (81.3),25.3 (77.5),24.5 (76.1),25.1 (77.2),25.0 (77),22.3 (72.1),16.0 (60.8),23.9 (75)
Record low °C (°F),6.0 (42.8),12.5 (54.5),16.0 (60.8),20.7 (69.3),22.5 (72.5),22.9 (73.2),22.0 (71.6),21.4 (70.5),20.7 (69.3),18.0 (64.4),14.0 (57.2),7.0 (44.6),18.0 (64.4)
Average rainfall mm (inches),1.7 (35.1),3.9 (39),7.2 (45),10.6 (51.1),13.8 (56.8),17.0 (62.6),18.9 (66),17.2 (63),13.2 (55.8),9.4 (48.9),4.6 (40.3),3.3 (37.9),1.7 (35.1)
Average rainy days,0 (0),0.5 (0.02),5.3 (0.209),16.6 (0.654),40.6 (1.598),116.1 (4.571),187.2 (7.37),122.3 (4.815),120.1 (4.728),77.9 (3.067),30.2 (1.189),4.8 (0.189),721.7 (28.413)
