,Jan,Feb,Mar,Apr,May,June,July,Aug,Sept,Oct,Nov,Dec,Year
Record high °C (°F),34.8 (94.6),38.2 (100.8),40.0 (104),40.5 (104.9),45.0 (113),45.4 (113.7),41.4 (106.5),38.8 (101.8),38.2 (100.8),37.2 (99),35.0 (95),34.0 (93.2),45.4 (113.7)
Average high °C (°F),28.9 (84),31.3 (88.3),33.8 (92.8),35.3 (95.5),36.2 (97.2),35.3 (95.5),32.9 (91.2),32.7 (90.9),32.5 (90.5),31.7 (89.1),30.4 (86.7),28.9 (84),32.5 (90.5)
Average low °C (°F),18.0 (64.4),19.9 (67.8),23.0 (73.4),26.1 (79),27.7 (81.9),27.3 (81.1),26.1 (79),26.0 (78.8),25.6 (78.1),24.3 (75.7),21.6 (70.9),18.6 (65.5),23.7 (74.7)
Record low °C (°F),10.5 (50.9),12.8 (55),14.4 (57.9),18.3 (64.9),20.0 (68),21.1 (70),21.3 (70.3),21.1 (70),17.5 (63.5),17.6 (63.7),12.9 (55.2),11.3 (52.3),10.5 (50.9)
Average rainfall mm (inches),11.1 (0.437),10.5 (0.413),13.0 (0.512),26.2 (1.031),70.5 (2.776),117.0 (4.606),133.3 (5.248),163.6 (6.441),191.1 (7.524),258.1 (10.161),115.5 (4.547),8.8 (0.346),"1,118.7 (44.042)"
Average rainy days,0.5,0.5,0.5,1.2,3.0,6.4,8.7,9.3,9.9,8.7,2.7,0.6,52.0
