,Jan,Feb,Mar,Apr,May,June,July,Aug,Sept,Oct,Nov,Dec,Year
Record high °C (°F),35.6 (96.1),37.6 (99.7),39.7 (103.5),40.3 (104.5),40.4 (104.7),38.6 (101.5),35.6 (96.1),35.7 (96.3),36.2 (97.2),36.1 (97),34.4 (93.9),35.0 (95),40.3 (104.5)
Average high °C (°F),30.5 (86.9),33.3 (91.9),35.9 (96.6),36.7 (98.1),35.2 (95.4),32.2 (90),31.6 (88.9),31.6 (88.9),32.5 (90.5),31.6 (88.9),30.1 (86.2),29.3 (84.7),32.5 (90.5)
Average low °C (°F),18.2 (64.8),19.5 (67.1),21.3 (70.3),23.4 (74.1),23.5 (74.3),22.4 (72.3),21.8 (71.2),21.8 (71.2),22.0 (71.6),21.8 (71.2),20.7 (69.3),19.0 (66.2),21.3 (70.3)
Record low °C (°F),11.7 (53.1),12.8 (55),15.6 (60.1),17.8 (64),16.1 (61),18.3 (64.9),16.7 (62.1),17.2 (63),17.8 (64),15.0 (59),13.9 (57),12.2 (54),9.7 (49.5)
Average rainfall mm (inches),5.4 (0.213),13.0 (0.512),15.1 (0.594),48.0 (1.89),71.2 (2.803),27.4 (1.079),35.5 (1.398),35.5 (1.398),144.3 (5.681),123.1 (4.846),222.2 (8.748),46.0 (1.811),966.0 (38.031)
Average rainy days,0.3,1.0,1.0,3.0,4.2,2.7,2.6,2.6,4.6,7.4,5.8,2.8,38.3
