,Jan,Feb,Mar,Apr,May,June,July,Aug,Sept,Oct,Nov,Dec,Year
Record high °C (°F),22 (72),26 (79),32 (90),39 (102),48 (119),48 (118),43 (109),42 (108),42 (107),37 (98),31 (87),23 (73),48 (119)
Average high °C (°F),18 (64),21.4 (70.5),27.3 (81.1),33.6 (92.5),43.2 (109.8),42.9 (109.2),37.6 (99.7),37.4 (99.3),36.7 (98.1),31.9 (89.4),26.3 (79.3),17.9 (64.3),45.2 (113.4)
Average low °C (°F),12.9 (55.3),15.2 (59.4),22.9 (73.2),28.3 (82.9),38.8 (101.8),39.6 (103.3),34 (93.2),32.4 (90.4),30.1 (86.1),27.4 (81.3),21.7 (71.1),13.3 (55.9),26.4 (79.5)
Record low °C (°F),?0.6 (30.9),2.4 (36.4),7.9 (46.3),13.3 (55.9),24.9 (76.9),26.2 (79.2),22.9 (73.3),21.7 (71.1),17.8 (64.1),11.7 (53.1),6.2 (43.2),0.6 (33.1),12.9 (55.3)
Average rainfall mm (inches),?4.3 (24.3),?0.6 (30.9),3.4 (38.1),8.6 (47.4),21.3 (70.3),23 (73.4),18.1 (64.6),16.4 (61.5),13.8 (56.9),6.5 (43.7),2.6 (36.7),?8.7 (16.3),?5.6 (21.9)
Average rainy days,?10 (14),?6 (21),?1 (31),6 (43),16 (61),18 (64),13 (56),12 (54),9 (49),4 (39),?1 (31),?9 (16),?10 (14)
