,Jan,Feb,Mar,Apr,May,June,July,Aug,Sept,Oct,Nov,Dec,Year
Record high °C (°F),32.8 (91),36.3 (97.3),42.5 (108.5),45.8 (114.4),48.4 (119.1),48.8 (119.8),45.6 (114.1),42.7 (108.9),39.6 (103.3),40.6 (105.1),36.0 (96.8),31.9 (89.4),48.8 (119.8)
Average high °C (°F),23.2 (73.8),26.7 (80.1),33.3 (91.9),39.4 (102.9),41.6 (106.9),39.6 (103.3),34.2 (93.6),32.9 (91.2),32.9 (91.2),32.9 (91.2),29.6 (85.3),24.8 (76.6),32.8 (91)
Average low °C (°F),8.9 (48),11.3 (52.3),16.2 (61.2),22.2 (72),26.3 (79.3),28.0 (82.4),26.5 (79.7),25.9 (78.6),24.7 (76.5),20.4 (68.7),14.3 (57.7),9.9 (49.8),19.4 (66.9)
Record low °C (°F),1.1 (34),1.1 (34),7.2 (45),12.7 (54.9),17.2 (63),18.7 (65.7),18.8 (65.8),21.1 (70),18.3 (64.9),11.7 (53.1),5.6 (42.1),?0.7 (30.7),?0.7 (30.7)
Average rainfall mm (inches),18.3 (0.72),15.2 (0.598),4.2 (0.165),5.9 (0.232),11.5 (0.453),126.6 (4.984),264.5 (10.413),279.0 (10.984),204.3 (8.043),27.4 (1.079),9.5 (0.374),12.1 (0.476),978.5 (38.524)
Average rainy days,1.8,1.4,0.4,0.7,1.1,5.4,12.7,12.1,9.1,1.8,0.6,0.7,47.9
