,Jan,Feb,Mar,Apr,May,June,July,Aug,Sept,Oct,Nov,Dec,Year
Record high °C (°F),39.1 (102.4),38.5 (101.3),41.7 (107.1),42.1 (107.8),45.5 (113.9),42.2 (108),40.6 (105.1),40.0 (104),39.8 (103.6),40.0 (104),38.0 (100.4),37.0 (98.6),44.5 (112.1)
Average high °C (°F),30.6 (87.1),33.2 (91.8),35.8 (96.4),37.3 (99.1),41.18 (106.12),36.8 (98.2),36.0 (96.8),35.7 (96.3),34.8 (94.6),32.7 (90.9),30.6 (87.1),29.7 (85.5),34.2 (93.6)
Average low °C (°F),20.1 (68.2),21.1 (70),23.0 (73.4),25.4 (77.7),26.1 (79),26.1 (79),25.6 (78.1),25.3 (77.5),24.3 (75.7),23.6 (74.5),22.6 (72.7),21.1 (70),23.7 (74.7)
Record low °C (°F),15.6 (60.1),10.5 (50.9),16.9 (62.4),19.4 (66.9),17.8 (64),17.8 (64),19.4 (66.9),20.6 (69.1),18.5 (65.3),18.9 (66),17.2 (63),16.7 (62.1),10.5 (50.9)
Average rainfall mm (inches),7.4 (0.291),11.8 (0.465),14.1 (0.555),37.1 (1.461),72.6 (2.858),32.0 (1.26),83.2 (3.276),80.3 (3.161),146.9 (5.783),159.4 (6.276),140.3 (5.524),53.0 (2.087),838.0 (32.992)
Average rainy days,0.9,1.1,1.1,2.4,4.4,2.0,3.6,4.1,7.8,8.1,6.3,3.4,45.1
