,Jan,Feb,Mar,Apr,May,June,July,Aug,Sept,Oct,Nov,Dec,Year
Record high °C (°F),31.1 (88),35.6 (96.1),42.8 (109),45.6 (114.1),47.2 (117),47.3 (117.1),45.0 (113),40.6 (105.1),40.0 (104),40.6 (105.1),36.1 (97),31.3 (88.3),47.3 (117.1)
Average high °C (°F),23.1 (73.6),25.9 (78.6),32.3 (90.1),38.3 (100.9),40.7 (105.3),39.0 (102.2),33.8 (92.8),32.9 (91.2),33.2 (91.8),33.0 (91.4),29.4 (84.9),24.8 (76.6),32.2 (90)
Average low °C (°F),7.9 (46.2),10.3 (50.5),15.3 (59.5),21.4 (70.5),25.4 (77.7),27.4 (81.3),26.3 (79.3),25.9 (78.6),24.6 (76.3),19.6 (67.3),13.0 (55.4),8.6 (47.5),18.7 (65.7)
Record low °C (°F),1.6 (34.9),0.6 (33.1),7.2 (45),11.1 (52),16.4 (61.5),20.6 (69.1),21.7 (71.1),21.7 (71.1),11.8 (53.2),4.6 (40.3),0.5 (32.9),?0.9 (30.4),?0.9 (30.4)
Average rainfall mm (inches),18.7 (0.736),15.7 (0.618),8.3 (0.327),7.4 (0.291),19.8 (0.78),99.0 (3.898),300.8 (11.843),233.1 (9.177),188.7 (7.429),53.8 (2.118),5.1 (0.201),9.1 (0.358),959.6 (37.78)
Average rainy days,1.9,1.5,1.0,0.8,1.2,4.6,13.7,10.7,6.8,2.1,0.4,0.7,45.5
